# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
4.520000000000000000e+02,1.958613238216378935e-02,3.447234984742353348e-02,7.011358454674961882e-01,3.556390399283839571e-02,1.168596343995683979e-03,2.345003496161221501e-03,8.685419127558966640e-03,2.322749005240850977e-03
4.540000000000000000e+02,1.888533115293989165e-02,3.328617314614860240e-02,7.147912998816517982e-01,3.436112775488363996e-02,1.175632872660034318e-03,2.340638177781940565e-03,8.900210561608933382e-03,2.341130696166491068e-03
4.560000000000000000e+02,1.854927854139204121e-02,3.349774889160644226e-02,7.337061383091312283e-01,3.463506995861505983e-02,1.160967058860364011e-03,2.436184925742068165e-03,9.070034581031699572e-03,2.420041280908966173e-03
4.580000000000000000e+02,1.826415157878132425e-02,3.519223310868448834e-02,7.408641514349818546e-01,3.629982778841135682e-02,1.129688039343767396e-03,2.578641205870571031e-03,9.128834134644643258e-03,2.526480311182569514e-03
4.600000000000000000e+02,1.811305120180552522e-02,3.906952671752075834e-02,7.388621081123154521e-01,4.016023226789056100e-02,1.099617876935296513e-03,2.800596629719191537e-03,9.040017896843822315e-03,2.758944176502907929e-03
4.620000000000000000e+02,1.807844661250955498e-02,4.573771864702255718e-02,7.298792716974104033e-01,4.679360055845435684e-02,1.070748601087400829e-03,3.188499640576332016e-03,8.894605334506389474e-03,3.181010917097353528e-03
4.640000000000000000e+02,1.840339979147032068e-02,5.678856685549635991e-02,7.245309309005462106e-01,5.788573117053846806e-02,1.077510436587425773e-03,3.851861269379929648e-03,8.847962969577795669e-03,3.830555447057780796e-03
4.660000000000000000e+02,1.903396363630945748e-02,7.361138645720299856e-02,7.215025102226181319e-01,7.468772201098568264e-02,1.078176837077381286e-03,4.644762639126279007e-03,8.689043830427862353e-03,4.620949356925268051e-03
4.680000000000000000e+02,2.006174852490288582e-02,9.892166070980468184e-02,7.226930185095246095e-01,1.000641992948336917e-01,1.095255307832279906e-03,5.764004474547810425e-03,8.646337654945499343e-03,5.763418823412688914e-03
4.700000000000000000e+02,2.113552608225457985e-02,1.338945351072487189e-01,7.166206773920068551e-01,1.351100003724151066e-01,1.115261584516955441e-03,7.119618382061619621e-03,8.488869152291196596e-03,7.098781369391095157e-03
4.720000000000000000e+02,2.280336722811107317e-02,1.858523425734635581e-01,7.191999612386599239e-01,1.870664304621458274e-01,1.170809460826736882e-03,8.606922389769067205e-03,8.618745877037448447e-03,8.569559655096802356e-03
4.740000000000000000e+02,2.454914140586834589e-02,2.526222424066037475e-01,7.166708355017585852e-01,2.537625793187056611e-01,1.233620964217894923e-03,9.884091548546700481e-03,8.400424555414589406e-03,9.877319301181283762e-03
4.760000000000000000e+02,2.625627336798902825e-02,3.308206497036612626e-01,7.123242963279842188e-01,3.320021391597987037e-01,1.308313492058483553e-03,1.082045806338547723e-02,8.634725441179070052e-03,1.079279773907049905e-02
4.780000000000000000e+02,2.766175481244889656e-02,4.148983883288319685e-01,7.031021856041071993e-01,4.161043761552616349e-01,1.386729663902784701e-03,1.108953798011503601e-02,8.765421138632243508e-03,1.105369573666540282e-02
4.800000000000000000e+02,2.844171270963895964e-02,4.937380155079526545e-01,6.850694071404079821e-01,4.949279984591265502e-01,1.454667567511441686e-03,1.071511173993052596e-02,8.683344042131750304e-03,1.061509579542928815e-02
4.820000000000000000e+02,2.873706304171914569e-02,5.633520713565014493e-01,6.637551069714799912e-01,5.645825369524958282e-01,1.472688196636154183e-03,9.938023959679458119e-03,8.718177160469802942e-03,9.789288919067655470e-03
4.840000000000000000e+02,2.884582983376037316e-02,6.246134760222978866e-01,6.441518704316074873e-01,6.258831079692895871e-01,1.513846403649594984e-03,9.235207854408717873e-03,8.652665023811805314e-03,9.200035145218858276e-03
4.860000000000000000e+02,2.889508734241497123e-02,6.787666920653081526e-01,6.271645984697560294e-01,6.800152521452749177e-01,1.565092256818600156e-03,8.999498862809521618e-03,8.714257901952326621e-03,8.929356301014981442e-03
4.880000000000000000e+02,2.906485602649546904e-02,7.259588143387731840e-01,6.091949871130248884e-01,7.273384882128086648e-01,1.592431230623538767e-03,8.912879068970185753e-03,8.857829962720123462e-03,8.956097968394692230e-03
