# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
4.900000000000000000e+02,3.594909783426631505e-02,5.660880190362999054e-01,6.726138380759089097e-01,5.663521298145339777e-01,1.802743302794396424e-03,1.222469860972042952e-02,8.127320105301068590e-03,1.226287566528300697e-02
4.920000000000000000e+02,3.973391924270186504e-02,6.446322939215434200e-01,6.566352928234481245e-01,6.451945175835686053e-01,1.850760404617278173e-03,1.147749387752288949e-02,8.069576209293960814e-03,1.153033556016372710e-02
4.940000000000000000e+02,4.338107878505676612e-02,7.124471763668801527e-01,6.416597735958957660e-01,7.131389673948881347e-01,1.932415847967363038e-03,1.082372094247163567e-02,8.189545112514235239e-03,1.078876460377264229e-02
4.960000000000000000e+02,4.680767653419631857e-02,7.699603930220753067e-01,6.259546242907786384e-01,7.706266721352126314e-01,2.043343701306178043e-03,1.045491328115033536e-02,8.331565798569154357e-03,1.035137674723195580e-02
4.980000000000000000e+02,5.015624810494492825e-02,8.177319668493499005e-01,6.100979343179434577e-01,8.185786411688544817e-01,2.178583148334334828e-03,9.988195349047403887e-03,8.474989913434672131e-03,1.004795078409696091e-02
5.000000000000000000e+02,5.316650589423313478e-02,8.515702238756112097e-01,5.897390836435529859e-01,8.524176002814694009e-01,2.271811332541226209e-03,9.796732196682837387e-03,8.424205448575913108e-03,9.767379284647883034e-03
5.020000000000000000e+02,5.657989352472361094e-02,8.870404129053190978e-01,5.739477522319006431e-01,8.880493913172400333e-01,2.360536166457611468e-03,9.703196267334453923e-03,8.494248841400991665e-03,9.833402986318233452e-03
5.040000000000000000e+02,5.946520120875115750e-02,9.087214439611414063e-01,5.505352569472974356e-01,9.101123169756540898e-01,2.401859969749750232e-03,9.707192759365452367e-03,8.522309887707205101e-03,9.633164369993049703e-03
5.060000000000000000e+02,6.291262116321584552e-02,9.333681065770876861e-01,5.310096686000425059e-01,9.347714413898686736e-01,2.351466741768897580e-03,9.817240054238908151e-03,8.415145501519151472e-03,9.808085465688839294e-03
5.080000000000000000e+02,6.584853752846504815e-02,9.452189916155203653e-01,5.052631873801306517e-01,9.467875792136709601e-01,2.341552848942540180e-03,9.740999507034714747e-03,8.354628378270920891e-03,9.748089973210796386e-03
5.100000000000000000e+02,6.923613978115786272e-02,9.581746304563066863e-01,4.808804916633992454e-01,9.598375642983288936e-01,2.370162546786644918e-03,9.749827440761915653e-03,8.154120019056977295e-03,9.912515045034426056e-03
5.120000000000000000e+02,7.293836002559286880e-02,9.663643670964383592e-01,4.551845192038832533e-01,9.682822226604399507e-01,2.452989503771858468e-03,9.635051269133684468e-03,7.997099524581703298e-03,9.787621228024435960e-03
5.140000000000000000e+02,7.748764816282377454e-02,9.750218980693636794e-01,4.305662302280711118e-01,9.773287545257499653e-01,2.552488538161422002e-03,9.651381713556360376e-03,7.832938510292467363e-03,9.766904370514601502e-03
5.160000000000000000e+02,8.294405580707668590e-02,9.835155930133107072e-01,4.072060347768524657e-01,9.856377898867624276e-01,2.756222176730845248e-03,9.706688934870148083e-03,7.616597029900486725e-03,9.855276846948517883e-03
5.180000000000000000e+02,8.909982452224814164e-02,9.873945175377144556e-01,3.839020463445275699e-01,9.899374519976656961e-01,2.916069670613321684e-03,9.719195790873880192e-03,7.391425422950606040e-03,9.905083006127652495e-03
5.200000000000000000e+02,9.583211647235816144e-02,9.931203879827670278e-01,3.629840194539289411e-01,9.958479465528209396e-01,2.925246946368151215e-03,9.865831743179362054e-03,7.220927253492655934e-03,9.924410274016781316e-03
5.220000000000000000e+02,1.022890747554708463e-01,9.953127594033716052e-01,3.428049382901941500e-01,9.981960418500455123e-01,2.981438198706335557e-03,9.941308858401297355e-03,6.984324172214522244e-03,1.007827638931874797e-02
5.240000000000000000e+02,1.082055202396205590e-01,9.971437134962916060e-01,3.260261750933914349e-01,1.000000000000000000e+00,3.143556224709720924e-03,9.797796400298536615e-03,6.887385735434948392e-03,1.008317023310303408e-02
5.260000000000000000e+02,1.126933989538079772e-01,9.936516276035395334e-01,3.100598329617558768e-01,9.969578156922063172e-01,3.285030763450521966e-03,9.872779125418829765e-03,6.661966647950773833e-03,1.014414521455227897e-02
5.280000000000000000e+02,1.157585793728446305e-01,9.892552529016546137e-01,2.947539857282475140e-01,9.927991965538687236e-01,3.379339947036682449e-03,9.790045758385362146e-03,6.295417043282390893e-03,9.898866859786513775e-03
5.300000000000000000e+02,1.160959746431426964e-01,9.796754319631556518e-01,2.824738756688324193e-01,9.830218933354243349e-01,3.446927936821151707e-03,9.747664962189943674e-03,6.091174927541262094e-03,9.755485590217582645e-03
5.320000000000000000e+02,1.154311966846836152e-01,9.755616027995651640e-01,2.731443917508861730e-01,9.792169837379455233e-01,3.374041589404471776e-03,9.653547758538105761e-03,5.938135809622160748e-03,9.773855379130565180e-03
5.340000000000000000e+02,1.126063095565391498e-01,9.650287060536705264e-01,2.633407477456972123e-01,9.688226570888439637e-01,3.224147959561404417e-03,9.522756706950954650e-03,5.722421792035906583e-03,9.620329259063116825e-03
5.360000000000000000e+02,1.099618121453468655e-01,9.598375865705998100e-01,2.553830088759889150e-01,9.638329257427252772e-01,3.187677369833109755e-03,9.525841985837835146e-03,5.520211361897697268e-03,9.536241310538293853e-03
5.380000000000000000e+02,1.071936840822556442e-01,9.519632344828594661e-01,2.473316958016168465e-01,9.557107670560910373e-01,3.110519435587361711e-03,9.438377997091568564e-03,5.300383770146801024e-03,9.603432354189738590e-03
5.400000000000000000e+02,1.045777832845357497e-01,9.447331046821008105e-01,2.404230382466803206e-01,9.484485285545132260e-01,3.105133235027206402e-03,9.270184905651068785e-03,5.104530200776721122e-03,9.526721951745647718e-03
5.420000000000000000e+02,1.024242953391112654e-01,9.394233115313619376e-01,2.339162877977490340e-01,9.435553085877160795e-01,3.118737892974734853e-03,9.432919282117847859e-03,5.011133814804204223e-03,9.483552052681157307e-03
5.440000000000000000e+02,1.013985643351926619e-01,9.386003559316786760e-01,2.278843050153572802e-01,9.435396639939247487e-01,3.193352741915781844e-03,9.434786906193794176e-03,4.967746812897772847e-03,9.668580532328528016e-03
5.460000000000000000e+02,1.012125835410692815e-01,9.364842735697155307e-01,2.212719969054467162e-01,9.408493487660514187e-01,3.221552450324709736e-03,9.538834114787116819e-03,4.767087233354968742e-03,9.655317324181345029e-03
5.480000000000000000e+02,1.013597787383538340e-01,9.293903455485265086e-01,2.137806610677104036e-01,9.330057151768745838e-01,3.227715698662654564e-03,9.586104585169010275e-03,4.695518461867304039e-03,9.628725447856078049e-03
5.500000000000000000e+02,1.016363809785809369e-01,9.210437323756114347e-01,2.060604552590163674e-01,9.250171754318106121e-01,3.257887644063906917e-03,9.559705865157402255e-03,4.611625014798332971e-03,9.931051614167563796e-03
5.520000000000000000e+02,1.023192343556439399e-01,9.133615062706630372e-01,1.986913116308189342e-01,9.183494970666805646e-01,3.264682042573778791e-03,9.620162713536732982e-03,4.448803452420859762e-03,9.864426952556688832e-03
5.540000000000000000e+02,1.033585466341969267e-01,9.047722285624800742e-01,1.913765594395960001e-01,9.099200882987105166e-01,3.325041576763879646e-03,9.639182781503411943e-03,4.302074664073775485e-03,9.784711450776435032e-03
5.560000000000000000e+02,1.049087807047022064e-01,8.972978171735900288e-01,1.844501732711462949e-01,9.019278840931613805e-01,3.339373121758568153e-03,9.709312183681663086e-03,4.347583210315920411e-03,9.858330059594404282e-03
5.580000000000000000e+02,1.058969164580836064e-01,8.843822458587391466e-01,1.769816784942007393e-01,8.884298732652842201e-01,3.400324106823247438e-03,9.628159489885762881e-03,4.235164818245903788e-03,9.639415505682678159e-03
