# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
4.860000000000000000e+02,3.221944646302971754e-02,7.335189855126651448e-01,6.866235036824824833e-01,7.324056375447220990e-01,9.236212634303497034e-04,5.296666193979357971e-03,4.516145462655926646e-03,5.354444938950811937e-03
4.880000000000000000e+02,3.201908336302983216e-02,7.801250712264959919e-01,6.656401455747009699e-01,7.790358860345143466e-01,9.231829260780239840e-04,5.385415835324955207e-03,4.546064782603660530e-03,5.424948497327847924e-03
4.900000000000000000e+02,3.198134748227490082e-02,8.200068809668317193e-01,6.422648412550981956e-01,8.188557201004179609e-01,9.409009283081797232e-04,5.476428506459597549e-03,4.494753501203520296e-03,5.535720825428241433e-03
4.920000000000000000e+02,3.223099097497573312e-02,8.534237298160856078e-01,6.165015401052101884e-01,8.522568558190359855e-01,9.430678379015992483e-04,5.567218559401098006e-03,4.445684545451209467e-03,5.656216768452320375e-03
4.940000000000000000e+02,3.280828724140063407e-02,8.816091032891987256e-01,5.905526677428657445e-01,8.804208493427391202e-01,9.454682274491919489e-04,5.629406317921858104e-03,4.451700938867405102e-03,5.707509652413585328e-03
4.960000000000000000e+02,3.358087739200057292e-02,9.025316232268532080e-01,5.625936358457775954e-01,9.013998967655558747e-01,9.779649624820109782e-04,5.738964918495612078e-03,4.428608629462330026e-03,5.874914318861937899e-03
4.980000000000000000e+02,3.477713754768349541e-02,9.255344548728875465e-01,5.383290696621709781e-01,9.244933733771378837e-01,9.865019577217114862e-04,5.906487340261465900e-03,4.399844882244696546e-03,5.927579621960324049e-03
5.000000000000000000e+02,3.589799317629185915e-02,9.349522179483532591e-01,5.077715297023688290e-01,9.338864635185770702e-01,1.014613034285824326e-03,5.926098745147256701e-03,4.296154236611259176e-03,6.002169279657959024e-03
5.020000000000000000e+02,3.752044149594085248e-02,9.481664673002677679e-01,4.819043645496352557e-01,9.471525245067543564e-01,1.044351265506915502e-03,6.079011872050466177e-03,4.271594289224745801e-03,6.103542538339164908e-03
5.040000000000000000e+02,3.912359383553021958e-02,9.530690190863841948e-01,4.526160608642816885e-01,9.521567162045365684e-01,1.049246122866563050e-03,6.057325350502792277e-03,4.193009541165364402e-03,6.219050473616177799e-03
5.060000000000000000e+02,4.152196922886595282e-02,9.674173378522793465e-01,4.281647334905046010e-01,9.664980910485069243e-01,1.097910572741077556e-03,6.258799505701578489e-03,4.097667848088682764e-03,6.361403706175196293e-03
5.080000000000000000e+02,4.402162404536227869e-02,9.716395316963735151e-01,4.005649983176995388e-01,9.709129936163456431e-01,1.129421146850743832e-03,6.224472378472965632e-03,4.047368045107641553e-03,6.439919582282040839e-03
5.100000000000000000e+02,4.738167838794788561e-02,9.818515479217303499e-01,3.755204894831477014e-01,9.811182085265693908e-01,1.169367622791713099e-03,6.443249760098014763e-03,4.027444776273935573e-03,6.497403419187819558e-03
5.120000000000000000e+02,5.101502785389969152e-02,9.826228626268010968e-01,3.466056934741309492e-01,9.819096217658963566e-01,1.212216449700918982e-03,6.507395845971263547e-03,3.869490486130423412e-03,6.629861713105577974e-03
5.140000000000000000e+02,5.548200956240943726e-02,9.812965294353304113e-01,3.182435782842946148e-01,9.806994347688313685e-01,1.272544226853843021e-03,6.581701697445575816e-03,3.711224871411500197e-03,6.669095576492108275e-03
5.160000000000000000e+02,6.073268807897895527e-02,9.831478102527463347e-01,2.923930903722374852e-01,9.826353052556762169e-01,1.336011157472353746e-03,6.569503614672583640e-03,3.580390375499889564e-03,6.668390173604842909e-03
5.180000000000000000e+02,6.682382725883656560e-02,9.889781617735368124e-01,2.687550124135114071e-01,9.885602704911228278e-01,1.404880009565789845e-03,6.601092665068138826e-03,3.433572468859704286e-03,6.711115604266201448e-03
5.200000000000000000e+02,7.350311865807410139e-02,9.945548900736406184e-01,2.473570719877092594e-01,9.943735619972824402e-01,1.482111926463724246e-03,6.705111492688350765e-03,3.306692293243527082e-03,6.749931420768343591e-03
